STATION,NAME,DAY,MONTH,YEAR,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
TH000048327,"CHIANG MAI, TH",1,1,1992,0,"D,,S",22.6,"H,,S",28.5,",,S",15.9,",,S"
TH000048327,"CHIANG MAI, TH",2,1,1992,0,"D,,S",23.1,"H,,S",29.3,",,S",,
TH000048327,"CHIANG MAI, TH",3,1,1992,0,"D,,S",23.3,"H,,S",29.4,",,S",,
TH000048327,"CHIANG MAI, TH",4,1,1992,0,"D,,S",22,"H,,S",29.4,",,S",,
TH000048327,"CHIANG MAI, TH",5,1,1992,0,"D,,S",18.6,"H,,S",,,,
TH000048327,"CHIANG MAI, TH",6,1,1992,0,"D,,S",19.8,"H,,S",,,9.8,",,S"
TH000048327,"CHIANG MAI, TH",7,1,1992,0,"D,,S",20.8,"H,,S",,,,
TH000048327,"CHIANG MAI, TH",8,1,1992,0,"D,,S",20,"H,,S",27.5,",,S",12,",,S"
TH000048327,"CHIANG MAI, TH",9,1,1992,0,"D,,S",20.8,"H,,S",,,12.8,",,S"
TH000048327,"CHIANG MAI, TH",10,1,1992,0,"D,,S",21.2,"H,,S",,,15.7,",,S"
TH000048327,"CHIANG MAI, TH",11,1,1992,0,"D,,S",20.6,"H,,S",,,,
TH000048327,"CHIANG MAI, TH",12,1,1992,0,"D,,S",20.8,"H,,S",28.2,",,S",13.3,",,S"
TH000048327,"CHIANG MAI, TH",13,1,1992,0,"D,,S",20.1,"H,,S",29,",,S",13.1,",,S"
TH000048327,"CHIANG MAI, TH",14,1,1992,0,"D,,S",20.6,"H,,S",28,",,S",12.6,",,S"
TH000048327,"CHIANG MAI, TH",15,1,1992,,,19.4,"H,,S",26,",,S",13,",,S"
TH000048327,"CHIANG MAI, TH",16,1,1992,0,"D,,S",19.4,"H,,S",26,",,S",,
TH000048327,"CHIANG MAI, TH",17,1,1992,0,"D,,S",19,"H,,S",26,",,S",12,",,S"
TH000048327,"CHIANG MAI, TH",18,1,1992,0,"D,,S",19.3,"H,,S",,,11.8,",,S"
TH000048327,"CHIANG MAI, TH",19,1,1992,,,19.7,"H,,S",27,",,S",,
TH000048327,"CHIANG MAI, TH",20,1,1992,0,"D,,S",19.5,"H,,S",,,,
TH000048327,"CHIANG MAI, TH",21,1,1992,0,"D,,S",19.1,"H,,S",26.5,",,S",12.7,",,S"
TH000048327,"CHIANG MAI, TH",22,1,1992,0,"D,,S",19.4,"H,,S",,,11.7,",,S"
TH000048327,"CHIANG MAI, TH",23,1,1992,0,"D,,S",19.7,"H,,S",27.3,",,S",,
TH000048327,"CHIANG MAI, TH",24,1,1992,0,"D,,S",19.4,"H,,S",,,11.8,",,S"
TH000048327,"CHIANG MAI, TH",25,1,1992,0,"D,,S",20,"H,,S",,,11.4,",,S"
TH000048327,"CHIANG MAI, TH",26,1,1992,0,"D,,S",21.6,"H,,S",,,13,",,S"
TH000048327,"CHIANG MAI, TH",27,1,1992,0,"D,,S",22.3,"H,,S",29.4,",,S",14.2,",,S"
TH000048327,"CHIANG MAI, TH",28,1,1992,0,"D,,S",22.5,"H,,S",30.2,",,S",14.6,",,S"
TH000048327,"CHIANG MAI, TH",29,1,1992,0,"D,,S",22.4,"H,,S",,,13.8,",,S"
TH000048327,"CHIANG MAI, TH",30,1,1992,0,"D,,S",21.9,"H,,S",,,14.1,",,S"
TH000048327,"CHIANG MAI, TH",31,1,1992,0,"D,,S",22.6,"H,,S",31,",,S",13.9,",,S"
TH000048327,"CHIANG MAI, TH",1,2,1992,0,"D,,S",21.6,"H,,S",,,,
TH000048327,"CHIANG MAI, TH",2,2,1992,0,"D,,S",20.8,"H,,S",29,",,S",12,",,S"
TH000048327,"CHIANG MAI, TH",3,2,1992,0,"D,,S",20.9,"H,,S",30.2,",,S",11.5,",,S"
TH000048327,"CHIANG MAI, TH",4,2,1992,0,"D,,S",21.1,"H,,S",30.3,",,S",10.9,",,S"
TH000048327,"CHIANG MAI, TH",5,2,1992,0,"D,,S",22.2,"H,,S",31.2,",,S",12.6,",,S"
TH000048327,"CHIANG MAI, TH",6,2,1992,0,"D,,S",22.3,"H,,S",31.2,",,S",13,",,S"
TH000048327,"CHIANG MAI, TH",7,2,1992,0,"D,,S",21.9,"H,,S",30.6,",,S",12.7,",,S"
TH000048327,"CHIANG MAI, TH",8,2,1992,0,"D,,S",21.9,"H,,S",,,11.8,",,S"
TH000048327,"CHIANG MAI, TH",9,2,1992,0,"D,,S",23.3,"H,,S",,,12.9,",,S"
TH000048327,"CHIANG MAI, TH",10,2,1992,0,"D,,S",24.6,"H,,S",32.3,",,S",14.6,",,S"
TH000048327,"CHIANG MAI, TH",11,2,1992,0,"D,,S",23.6,"H,,S",,,15.3,",,S"
TH000048327,"CHIANG MAI, TH",12,2,1992,0,"D,,S",21.4,"H,,S",30,",,S",,
TH000048327,"CHIANG MAI, TH",13,2,1992,0,"D,,S",21.2,"H,,S",,,11.3,",,S"
TH000048327,"CHIANG MAI, TH",14,2,1992,0,"D,,S",22.9,"H,,S",31.1,",,S",11.6,",,S"
TH000048327,"CHIANG MAI, TH",15,2,1992,0,"D,,S",23.2,"H,,S",31.2,",,S",13.5,",,S"
TH000048327,"CHIANG MAI, TH",16,2,1992,0,"D,,S",24.3,"H,,S",,,15.1,",,S"
TH000048327,"CHIANG MAI, TH",17,2,1992,0,"D,,S",23.6,"H,,S",31,",,S",16.1,",,S"
TH000048327,"CHIANG MAI, TH",18,2,1992,0,"D,,S",24.6,"H,,S",,,15.5,",,S"
TH000048327,"CHIANG MAI, TH",19,2,1992,0,"D,,S",24.3,"H,,S",31.3,",,S",16.5,",,S"
TH000048327,"CHIANG MAI, TH",20,2,1992,0,"D,,S",23.7,"H,,S",,,,
TH000048327,"CHIANG MAI, TH",21,2,1992,0,"D,,S",24.1,"H,,S",32.4,",,S",15.6,",,S"
TH000048327,"CHIANG MAI, TH",22,2,1992,0,"D,,S",23.9,"H,,S",32.2,",,S",13.6,",,S"
TH000048327,"CHIANG MAI, TH",23,2,1992,0,"D,,S",22.8,"H,,S",33,",,S",12.9,",,S"
TH000048327,"CHIANG MAI, TH",24,2,1992,0,"D,,S",24.1,"H,,S",31.5,",,S",14.2,",,S"
TH000048327,"CHIANG MAI, TH",25,2,1992,2,",,S",20.7,"H,,S",23.8,",,S",,
TH000048327,"CHIANG MAI, TH",26,2,1992,5.1,",,S",18.8,"H,,S",21,",O,S",,
TH000048327,"CHIANG MAI, TH",27,2,1992,10.9,",,S",19.6,"H,,S",26.3,",,S",,
TH000048327,"CHIANG MAI, TH",28,2,1992,0,",,S",20.8,"H,,S",,,11.9,",,S"
TH000048327,"CHIANG MAI, TH",29,2,1992,0,"D,,S",23,"H,,S",,,12.3,",,S"
TH000048327,"CHIANG MAI, TH",1,3,1992,0,"D,,S",24,"H,,S",,,15,",,S"
TH000048327,"CHIANG MAI, TH",2,3,1992,0,"D,,S",25.1,"H,,S",33.2,",,S",15.9,",,S"
TH000048327,"CHIANG MAI, TH",3,3,1992,0,"D,,S",24.9,"H,,S",,,16.2,",,S"
