STATION,NAME,DAY,MONTH,YEAR,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
TH000048303,"CHIANG RAI, TH",1,1,1992,0,"D,,S",20.3,"H,,S",27.1,",,G",12.4,",,G"
TH000048303,"CHIANG RAI, TH",2,1,1992,0,"D,,S",21,"H,,S",28.5,",,G",15,",,G"
TH000048303,"CHIANG RAI, TH",3,1,1992,,,21.5,"H,,S",26.9,",,G",15.5,",,G"
TH000048303,"CHIANG RAI, TH",4,1,1992,1,",,S",18.2,"H,,S",28.3,",,G",12.5,",,G"
TH000048303,"CHIANG RAI, TH",5,1,1992,0,",,S",14.8,"H,,S",25.4,",,G",7.8,",,G"
TH000048303,"CHIANG RAI, TH",6,1,1992,0,"D,,S",16.8,"H,,S",23.9,",,G",6.5,",,G"
TH000048303,"CHIANG RAI, TH",7,1,1992,0,"D,,S",19.3,"H,,S",26.4,",,G",11.2,",,G"
TH000048303,"CHIANG RAI, TH",8,1,1992,0,"D,,S",17.8,"H,,S",26.5,",,G",11,",,G"
TH000048303,"CHIANG RAI, TH",9,1,1992,0,"D,,S",18.3,"H,,S",26.8,",,G",11.5,",,G"
TH000048303,"CHIANG RAI, TH",10,1,1992,0,"D,,S",20.6,"H,,S",26.8,",,G",12.1,",,G"
TH000048303,"CHIANG RAI, TH",11,1,1992,0,"D,,S",18.3,"H,,S",27.5,",,G",12.1,",,G"
TH000048303,"CHIANG RAI, TH",12,1,1992,0,"D,,S",18.1,"H,,S",27.8,",,G",10.6,",,G"
TH000048303,"CHIANG RAI, TH",13,1,1992,0,"D,,S",18.2,"H,,S",27.5,",,G",10.6,",,G"
TH000048303,"CHIANG RAI, TH",14,1,1992,0,"D,,S",18.4,"H,,S",25.5,",,G",11.2,",,G"
TH000048303,"CHIANG RAI, TH",15,1,1992,,,19.7,"H,,S",25,",,G",14.8,",,G"
TH000048303,"CHIANG RAI, TH",16,1,1992,0,"D,,S",18.8,"H,,S",24.2,",,G",10.7,",,G"
TH000048303,"CHIANG RAI, TH",17,1,1992,0,"D,,S",15.3,"H,,S",22.5,",,G",9.4,",,G"
TH000048303,"CHIANG RAI, TH",18,1,1992,0,"D,,S",16.3,"H,,S",24.6,",,G",9.8,",,G"
